Index,max,median,variance,UV_Index,DO mgO2/l,Na(mg/l),SO4 (mg/l),classification
1,44,18.0,929.39,37.81908,8.41,10.2,6.142,1
2,5,4.0,10.43,6.8532,4.25,9.4,11.564,1
3,89,57.0,1196.23,0.0,4.17,9.666,8.953,1
4,27,6.9,323.32,21.765079999999998,4.77,8.739,11.138,1
5,21,0.2,321.15,0.0,4.58,8.63,8.019,1
6,34,25.0,562.88,29.789720000000003,5.27,4.0,10.777,1
7,59,13.0,3167.37,9.40748,2.85,4.093,8.577,1
8,6,3.0,25.73,28.309600000000003,4.38,6.447,7.339,1
9,27,8.0,509.55,0.0,1.26,8.705,6.659,1
10,6,3.0,20.72,3.8562000000000003,1.05,7.472,7.125,1
11,88,68.0,1063.48,0.0,1.34,7.917,5.755,1
12,21,21.0,0.0,14.78496,3.02,8.045,5.332,1
13,119,61.0,7740.41,17.53876,1.15,8.941,9.809,0
14,55,51.0,248.62,4.44164,4.85,7.849,9.323,1
15,8,7.0,28.47,1.6381880000000002,3.58,7.822,7.872,1
16,21,0.2,363.63,15.589960000000001,0.6,9.62,6.265,1
17,84,24.0,3293.67,0.0,1.06,9.119,9.64,1
18,10,4.6,97.58,0.0,1.31,92.9101613832853,7.917,1
19,31,9.6,549.1,0.00015999999999999999,1.47,92.9101613832853,12.704,1
20,22,3.0,203.86,1.1646320000000001,1.6,92.9101613832853,8.047,1
21,200,119.0,15777.8,9.530639999999998,1.99,92.9101613832853,7.379,0
22,80,54.0,2701.67,6.892999999999999,2.65,92.9101613832853,34.21911720698254,1
23,137,41.0,14556.1,2.5241200000000004,4.02,92.9101613832853,34.21911720698254,0
24,46,38.0,127.54,25.67636,1.25,92.9101613832853,34.21911720698254,1
25,180,158.0,17580.0,17.237000000000002,7.48,3.608,5.908,0
26,5,4.0,11.49,9.3906,6.43,5.581,9.693,1
27,16,6.1,157.52,0.0,6.11,7.143,7.204,1
28,10,7.0,179.79,0.7112799999999999,5.33,7.304,5.872,1
29,134,68.0,16247.3,0.0,5.12,7.628,8.488,0
30,35,0.4,853.04,4.06304,5.02,8.493,7.402,1
31,70,54.0,754.71,31.574959999999997,3.32,3.618,10.107,1
32,21,0.2,275.18,0.0,3.75,6.0,6.797,1
33,137,56.0,7916.34,0.0,4.73,7.989,9.302,0
34,52,22.0,935.2,0.0,4.75,5.956,9.704,1
35,11,0.1,156.42,0.0,6.65,5.692,7.331,1
36,14,0.2,195.9,0.0,5.2,932.53,273.571,1
37,4,3.0,8.01,9.92688,6.71,173.207,35.471,1
38,35,0.4,699.66,0.0,5.21,12.096,13.856,1
39,3,2.0,3.15,0.0,4.92,7.03,7.636,1
40,198,110.0,16851.1,0.0,4.72,5.25,8.628,0
41,22,6.0,361.54,9.203600000000002,2.28,6.428,7.233,1
42,23,9.0,330.59,0.707876,4.49,92.9101613832853,7.44,1
43,50,25.0,1247.69,24.236520000000002,4.65,92.9101613832853,14.017,1
44,6,2.0,18.28,0.0057,4.7,92.9101613832853,13.919,1
45,144,63.0,12798.1,10.43288,4.1,92.9101613832853,12.556,0
