Index,count,min,max,median,variance,classification
1,48,6.9,44,18.0,929.39,1
2,35,1.6,5,4.0,10.43,1
3,24,52.0,89,57.0,1196.23,1
4,48,1.0,27,6.9,323.32,1
5,48,0.1,21,0.2,321.15,1
6,24,11.0,34,25.0,562.88,1
7,24,7.0,59,13.0,3167.37,1
8,34,1.3,6,3.0,25.73,1
9,48,2.1,27,8.0,509.55,1
10,44,1.3,6,3.0,20.72,1
11,24,49.0,88,68.0,1063.48,1
12,8,21.0,21,21.0,0.0,1
13,48,18.0,119,61.0,7740.41,2
14,24,39.0,55,51.0,248.62,1
15,37,3.1,8,7.0,28.47,1
16,48,0.1,21,0.2,363.63,1
17,46,7.8,84,24.0,3293.67,1
18,35,1.1,10,4.6,97.58,1
19,48,2.8,31,9.6,549.1,1
20,45,0.9,22,3.0,203.86,1
21,24,92.0,200,119.0,15777.8,2
22,24,15.0,80,54.0,2701.67,1
23,48,17.0,137,41.0,14556.1,2
24,24,32.0,46,38.0,127.54,1
25,24,65.0,180,158.0,17580.0,2
26,39,2.1,5,4.0,11.49,1
27,48,2.5,16,6.1,157.52,1
28,41,0.1,10,7.0,179.79,1
29,42,16.0,134,68.0,16247.3,2
30,48,0.1,35,0.4,853.04,1
31,24,39.0,70,54.0,754.71,1
32,46,0.1,21,0.2,275.18,1
33,44,21.0,137,56.0,7916.34,2
34,24,19.0,52,22.0,935.2,1
35,48,0.1,11,0.1,156.42,1
36,24,0.1,14,0.2,195.9,1
37,34,1.6,4,3.0,8.01,1
38,48,0.1,35,0.4,699.66,1
39,34,1.1,3,2.0,3.15,1
40,48,81.0,198,110.0,16851.1,2
41,48,0.5,22,6.0,361.54,1
42,47,3.7,23,9.0,330.59,1
43,27,5.0,50,25.0,1247.69,1
44,39,0.6,6,2.0,18.28,1
45,48,18.0,144,63.0,12798.1,2
46,46,0.1,21,2.0,287.46,1
47,40,2.1,6,4.0,15.38,1
48,24,16.0,78,46.0,2841.74,1
49,47,0.9,42,4.0,812.5,1
50,48,1.0,27,8.7,424.28,1
51,48,2.5,20,7.0,218.35,1
52,43,40.0,181,153.0,19981.1,2
53,24,46.0,109,98.0,5898.26,1
54,47,0.5,13,3.0,105.41,1
55,14,1.6,4,3.0,7.86,1
56,38,1.6,5,3.0,13.71,1
57,33,1.1,4,2.0,10.52,1
58,24,4.0,88,52.0,6095.36,1
59,24,22.0,48,32.0,700.71,1
60,48,0.5,7,2.0,30.15,1
61,48,5.1,35,13.0,706.74,1
62,47,0.9,50,4.0,2127.3,1
63,48,3.2,21,9.0,268.52,1
64,48,11.0,104,57.0,8793.19,2
65,48,27.0,183,107.0,24736.4,0
66,48,2.3,34,11.5,711.05,1
67,24,4.0,58,31.0,2900.87,1
68,48,0.5,11,4.6,97.91,1
69,23,64.0,155,124.0,8452.92,2
70,17,10.0,122,54.0,10494.0,2
71,24,97.0,245,182.0,10834.7,2
72,45,0.5,17,5.0,154.44,1
73,24,12.0,24,16.0,66.67,1
74,24,52.0,209,182.0,26183.8,0
