Index,UV_Index,classification
1,37.81908,2
2,6.8532,2
3,0.0,0
4,21.765079999999998,2
5,0.0,0
6,29.789720000000003,2
7,9.40748,2
8,28.309600000000003,2
9,0.0,0
10,3.8562000000000003,1
11,0.0,0
12,14.78496,2
13,17.53876,2
14,4.44164,1
15,1.6381880000000002,0
16,15.589960000000001,2
17,0.0,0
18,0.0,0
19,0.00015999999999999999,0
20,1.1646320000000001,0
21,9.530639999999998,2
22,6.892999999999999,2
23,2.5241200000000004,1
24,25.67636,2
25,17.237000000000002,2
26,9.3906,2
27,0.0,0
28,0.7112799999999999,0
29,0.0,0
30,4.06304,1
31,31.574959999999997,2
32,0.0,0
33,0.0,0
34,0.0,0
35,0.0,0
36,0.0,0
37,9.92688,2
38,0.0,0
39,0.0,0
40,0.0,0
41,9.203600000000002,2
42,0.707876,0
43,24.236520000000002,2
44,0.0057,0
45,10.43288,2
46,38.9574,2
47,0.01182668,0
48,,2
49,0.22154079999999998,0
50,2.069852,1
51,0.0,0
52,0.0,0
53,36.10124,2
54,0.0,0
55,0.0,0
56,32.21824,2
57,2.467712,1
58,0.0,0
59,0.0,0
60,4.16388,1
61,0.0,0
62,9.71528,2
63,27.29272,2
64,0.0,0
65,32.2746,2
66,0.0,0
67,0.0,0
68,10.07408,2
69,9.86936,2
70,0.0,0
71,0.0,0
72,0.0,0
73,4.8670800000000005,1
74,0.0,0
75,3.4931479999999997,1
76,0.0,0
77,0.0,0
78,37.61016,2
79,5.22392,2
80,0.0,0
81,0.0,0
82,0.0,0
83,0.0,0
84,0.0,0
85,0.01132668,0
86,0.0,0
87,0.1524132,0
88,0.0,0
89,27.7322,2
90,27.250840000000004,2
91,17.02524,2
92,0.9970600000000001,0
93,25.956799999999998,2
94,11.539160000000003,2
95,0.0,0
96,9.79692,2
97,20.02552,2
98,0.002106667999999996,0
99,0.2117868,0
100,0.0,0
101,3.2110719999999997,1
102,0.0,0
103,0.0,0
104,9.60796,2
105,11.131359999999999,2
106,36.005720000000004,2
107,43.3964,2
108,0.0,0
109,0.015346679999999998,0
110,9.68932,2
