Index,DO mgO2/l,Na(mg/l),SO4 (mg/l),classification
1,8.41,10.2,6.142,1
2,4.25,9.4,11.564,1
3,4.17,9.666,8.953,1
4,4.77,8.739,11.138,1
5,4.58,8.63,8.019,1
6,5.27,4.0,10.777,1
7,2.85,4.093,8.577,0
8,4.38,6.447,7.339,1
9,1.26,8.705,6.659,0
10,1.05,7.472,7.125,0
11,1.34,7.917,5.755,0
12,3.02,8.045,5.332,0
13,1.15,8.941,9.809,0
14,4.85,7.849,9.323,1
15,3.58,7.822,7.872,1
16,0.6,9.62,6.265,0
17,1.06,9.119,9.64,0
18,1.31,92.9101613832853,7.917,0
19,1.47,92.9101613832853,12.704,0
20,1.6,92.9101613832853,8.047,0
21,1.99,92.9101613832853,7.379,0
22,2.65,92.9101613832853,34.21911720698254,0
23,4.02,92.9101613832853,34.21911720698254,1
24,1.25,92.9101613832853,34.21911720698254,0
25,7.48,3.608,5.908,1
26,6.43,5.581,9.693,1
27,6.11,7.143,7.204,1
28,5.33,7.304,5.872,1
29,5.12,7.628,8.488,1
30,5.02,8.493,7.402,1
31,3.32,3.618,10.107,1
32,3.75,6.0,6.797,1
33,4.73,7.989,9.302,1
34,4.75,5.956,9.704,1
35,6.65,5.692,7.331,1
36,5.2,932.53,273.571,1
37,6.71,173.207,35.471,1
38,5.21,12.096,13.856,1
39,4.92,7.03,7.636,1
40,4.72,5.25,8.628,1
41,2.28,6.428,7.233,0
42,4.49,92.9101613832853,7.44,1
43,4.65,92.9101613832853,14.017,1
44,4.7,92.9101613832853,13.919,1
45,4.1,92.9101613832853,12.556,1
46,6.01,92.9101613832853,34.21911720698254,1
47,4.85,92.9101613832853,34.21911720698254,1
48,3.6,92.9101613832853,34.21911720698254,1
49,7.18,3137.255,459.5,2
50,5.62,888.889,116.35,1
51,5.37,1982.143,398.82,2
52,4.88,2880.435,378.375,2
53,4.13,1918.605,384.4,2
54,4.56,610.9,112.37,1
55,3.02,28.18,20.488,0
56,3.35,32.237,14.011,1
