Date,Country,City,Specie,count,min,max,median,variance
24/01/2020,VN,Ha Noi,pm10,24,13,32,23,171.01
4/5/2020,VN,Ha Noi,pm10,24,26,53,34,971.01
3/10/2020,VN,Ha Noi,pm10,24,16,49,26,814.33
20/12/2020,VN,Ha Noi,pm10,24,19,37,26,225.92
22/12/2020,VN,Ha Noi,pm10,24,31,57,52,794.78
14/02/2020,VN,Ha Noi,pm10,24,18,43,29,552.1
3/4/2020,VN,Ha Noi,pm10,24,11,56,20,1788.62
16/07/2020,VN,Ha Noi,pm10,24,18,33,25,222.54
29/08/2020,VN,Ha Noi,pm10,24,16,35,26,259.93
9/5/2020,VN,Ha Noi,pm10,24,18,65,39,1838.84
17/10/2020,VN,Ha Noi,pm10,24,9,21,12,130.43
31/10/2020,VN,Ha Noi,pm10,24,12,44,19,1207.81
10/11/2020,VN,Ha Noi,pm10,24,16,63,35,2196.45
15/01/2020,VN,Ha Noi,pm10,24,26,54,35,643.7
4/2/2020,VN,Ha Noi,pm10,24,9,22,17,149.55
10/2/2020,VN,Ha Noi,pm10,22,23,64,41,2209.7
8/3/2020,VN,Ha Noi,pm10,24,40,52,45,140.58
27/11/2020,VN,Ha Noi,pm10,24,26,52,32,667.66
3/1/2021,VN,Ha Noi,pm10,24,46,79,65,1119.93
10/9/2020,VN,Ha Noi,pm10,24,9,39,26,551.23
14/09/2020,VN,Ha Noi,pm10,24,12,27,18,136.5
30/10/2020,VN,Ha Noi,pm10,24,10,18,14,53.75
7/12/2020,VN,Ha Noi,pm10,24,27,76,50,1615.58
7/2/2020,VN,Ha Noi,pm10,24,38,74,58,1248.7
7/5/2020,VN,Ha Noi,pm10,24,27,57,40,1073.84
3/6/2020,VN,Ha Noi,pm10,24,15,49,32,1143.41
10/6/2020,VN,Ha Noi,pm10,24,12,53,39,1737.61
28/11/2020,VN,Ha Noi,pm10,24,20,32,25,109.55
17/06/2020,VN,Ha Noi,pm10,24,15,46,32,1051.88
18/06/2020,VN,Ha Noi,pm10,24,15,36,28,555.05
22/07/2020,VN,Ha Noi,pm10,24,16,28,21,113.26
23/07/2020,VN,Ha Noi,pm10,24,13,31,20,232.59
30/08/2020,VN,Ha Noi,pm10,24,17,42,31,567.54
24/09/2020,VN,Ha Noi,pm10,24,3,31,9,1076.52
9/10/2020,VN,Ha Noi,pm10,24,11,25,14,151.72
28/10/2020,VN,Ha Noi,pm10,24,21,58,37,1365.92
11/2/2020,VN,Ha Noi,pm10,19,30,65,58,1235.79
17/02/2020,VN,Ha Noi,pm10,24,26,58,37,1106.67
6/3/2020,VN,Ha Noi,pm10,24,50,71,63,488.97
31/05/2020,VN,Ha Noi,pm10,13,20,43,35,694.74
11/11/2020,VN,Ha Noi,pm10,24,20,56,42,1386.5
20/08/2020,VN,Ha Noi,pm10,22,12,44,34,1042.77
23/12/2020,VN,Ha Noi,pm10,24,36,62,45,731.23
12/2/2020,VN,Ha Noi,pm10,24,42,71,57,633.9
20/02/2020,VN,Ha Noi,pm10,24,46,109,98,5898.26
30/07/2020,VN,Ha Noi,pm10,24,23,56,33,1324.06
10/8/2020,VN,Ha Noi,pm10,20,15,38,22,442.74
17/08/2020,VN,Ha Noi,pm10,24,6,21,13,195.63
28/08/2020,VN,Ha Noi,pm10,24,18,43,32,309.78
14/01/2021,VN,Ha Noi,pm10,24,40,74,57,792.39
25/02/2020,VN,Ha Noi,pm10,15,39,53,47,126.38
27/03/2020,VN,Ha Noi,pm10,24,12,29,20,320.42
5/6/2020,VN,Ha Noi,pm10,24,14,60,34,2135
16/08/2020,VN,Ha Noi,pm10,24,10,61,23,3145.8
15/11/2020,VN,Ha Noi,pm10,24,19,35,25,176.79
24/11/2020,VN,Ha Noi,pm10,24,23,39,33,151.3
10/1/2021,VN,Ha Noi,pm10,24,19,52,22,935.2
11/1/2021,VN,Ha Noi,pm10,24,21,57,29,1120.85
16/01/2020,VN,Ha Noi,pm10,24,27,52,43,634.71
29/03/2020,VN,Ha Noi,pm10,15,9,21,14,112.67
9/7/2020,VN,Ha Noi,pm10,24,19,52,28,1052.88
11/7/2020,VN,Ha Noi,pm10,24,28,61,40,1222.54
19/07/2020,VN,Ha Noi,pm10,24,20,41,25,501.09
24/07/2020,VN,Ha Noi,pm10,24,16,35,25,246.88
12/10/2020,VN,Ha Noi,pm10,24,22,69,32,2504.33
20/01/2020,VN,Ha Noi,pm10,24,34,71,45,1424.18
1/3/2020,VN,Ha Noi,pm10,24,25,44,32,178.48
21/03/2020,VN,Ha Noi,pm10,24,22,40,33,240.85
14/04/2020,VN,Ha Noi,pm10,24,15,33,28,385.43
23/10/2020,VN,Ha Noi,pm10,24,22,72,56,2421.74
24/03/2020,VN,Ha Noi,pm10,24,14,28,19,123.7
17/07/2020,VN,Ha Noi,pm10,24,17,35,28,451.29
3/9/2020,VN,Ha Noi,pm10,24,43,55,47,165.14
6/9/2020,VN,Ha Noi,pm10,24,12,29,24,133.62
5/11/2020,VN,Ha Noi,pm10,24,49,61,53,103.75
27/01/2020,VN,Ha Noi,pm10,24,18,38,21,424.57
4/6/2020,VN,Ha Noi,pm10,24,15,53,32,1558.19
9/8/2020,VN,Ha Noi,pm10,24,14,24,19,105.63
22/09/2020,VN,Ha Noi,pm10,24,8,20,15,97.97
9/6/2020,VN,Ha Noi,pm10,24,29,64,53,860.85
25/09/2020,VN,Ha Noi,pm10,24,19,46,25,677.1
25/11/2020,VN,Ha Noi,pm10,24,25,57,33,1032.16
29/11/2020,VN,Ha Noi,pm10,24,13,41,16,786.88
7/1/2020,VN,Ha Noi,pm10,20,40,71,48,658.4
7/3/2020,VN,Ha Noi,pm10,24,39,55,45,204.27
4/4/2020,VN,Ha Noi,pm10,24,7,39,12,790.27
2/6/2020,VN,Ha Noi,pm10,24,19,54,40,941.45
12/12/2020,VN,Ha Noi,pm10,24,24,54,37,802.16
24/12/2020,VN,Ha Noi,pm10,24,25,55,36,890.27
3/11/2020,VN,Ha Noi,pm10,24,8,28,19,379.84
14/11/2020,VN,Ha Noi,pm10,24,19,62,35,2065.8
10/4/2020,VN,Ha Noi,pm10,24,21,46,37,754.78
11/6/2020,VN,Ha Noi,pm10,24,8,55,34,1854.49
28/07/2020,VN,Ha Noi,pm10,24,39,70,54,754.71
26/09/2020,VN,Ha Noi,pm10,24,11,20,16,70.27
30/11/2020,VN,Ha Noi,pm10,24,16,45,28,637.37
16/04/2020,VN,Ha Noi,pm10,24,17,39,26,375.58
26/04/2020,VN,Ha Noi,pm10,24,8,14,10,39.13
18/09/2020,VN,Ha Noi,pm10,24,9,20,12,64.18
24/10/2020,VN,Ha Noi,pm10,24,30,68,57,1372.75
7/10/2020,VN,Ha Noi,pm10,24,10,23,15,149.27
8/1/2020,VN,Ha Noi,pm10,21,32,64,50,539.62
12/1/2020,VN,Ha Noi,pm10,24,19,82,31,3417.39
22/02/2020,VN,Ha Noi,pm10,24,75,98,80,515.05
7/4/2020,VN,Ha Noi,pm10,24,30,55,34,483.9
8/9/2020,VN,Ha Noi,pm10,24,23,51,37,496.94
8/11/2020,VN,Ha Noi,pm10,24,10,51,22,1823.41
12/1/2021,VN,Ha Noi,pm10,24,17,45,34,593.03
28/02/2020,VN,Ha Noi,pm10,24,24,45,36,387.81
29/04/2020,VN,Ha Noi,pm10,24,46,85,66,1218.1
17/05/2020,VN,Ha Noi,pm10,24,19,40,24,207.37
